HomeTeam,AwayTeam,Date,Time,Stage,Group
United States,Paraguay,2026-03-06,13:00,Groups Phase,Group D
Qatar,Switzerland,2026-03-06,7:00,Groups Phase,Group B
Haiti,Scotland,2026-03-06,13:00,Groups Phase,Group C
Brazil,Morocco,2026-03-06,17:30,Groups Phase,Group C
Germany,Curaçao,2026-03-06,5:00,Groups Phase,Group E
Netherlands,Japan,2026-03-06,8:00,Groups Phase,Group F
Ivory Coast,Ecuador,2026-03-06,11:00,Groups Phase,Group E
Spain,Cape Verde,2026-03-06,4:00,Groups Phase,Group H
Belgium,Egypt,2026-03-06,7:00,Groups Phase,Group G
Saudi Arabia,Uruguay,2026-03-06,10:00,Groups Phase,Group H
Iran,New Zealand,2026-03-06,13:00,Groups Phase,Group G
France,Senegal,2026-03-06,7:00,Groups Phase,Group I
Argentina,Algeria,2026-03-06,13:00,Groups Phase,Group J
Austria,Jordan,2026-03-06,16:00,Groups Phase,Group J
England,Croatia,2026-03-06,8:00,Groups Phase,Group L
Ghana,Panama,2026-03-06,11:00,Groups Phase,Group L
Uzbekistan,Colombia,2026-03-06,14:00,Groups Phase,Group K
Canada,Qatar,2026-03-07,10:00,Groups Phase,Group B
Mexico,South Korea,2026-03-07,13:00,Groups Phase,Group A
United States,Australia,2026-03-07,7:00,Groups Phase,Group D
Scotland,Morocco,2026-03-07,10:00,Groups Phase,Group C
Brazil,Haiti,2026-03-07,13:00,Groups Phase,Group C
Germany,Ivory Coast,2026-03-07,8:00,Groups Phase,Group E
Ecuador,Curaçao,2026-03-07,12:00,Groups Phase,Group E
Tunisia,Japan,2026-03-07,16:00,Groups Phase,Group F
Mexico,South Africa,2026-03-07,23:49,Groups Phase,Group A
Belgium,Iran,2026-03-07,7:00,Groups Phase,Group G
Uruguay,Cape Verde,2026-03-07,10:00,Groups Phase,Group H
New Zealand,Egypt,2026-03-07,13:00,Groups Phase,Group G
Spain,Saudi Arabia,2026-03-07,16:00,Groups Phase,Group H
Norway,Senegal,2026-03-07,12:00,Groups Phase,Group I
Jordan,Algeria,2026-03-07,15:00,Groups Phase,Group J
Argentina,Austria,2026-03-07,17:00,Groups Phase,Group J
Portugal,Uzbekistan,2026-03-08,5:00,Groups Phase,Group K
England,Ghana,2026-03-08,8:00,Groups Phase,Group L
Panama,Croatia,2026-03-08,11:00,Groups Phase,Group L
Switzerland,Canada,2026-03-08,7:00,Groups Phase,Group B
Scotland,Brazil,2026-03-08,10:00,Groups Phase,Group C
Morocco,Haiti,2026-03-08,10:00,Groups Phase,Group C
South Africa,South Korea,2026-03-08,13:00,Groups Phase,Group A
Curaçao,Ivory Coast,2026-03-08,8:00,Groups Phase,Group E
Ecuador,Germany,2026-03-08,8:00,Groups Phase,Group E
Tunisia,Netherlands,2026-03-08,11:00,Groups Phase,Group F
Paraguay,Australia,2026-03-08,14:00,Groups Phase,Group D
Norway,France,2026-03-08,7:00,Groups Phase,Group I
Cape Verde,Saudi Arabia,2026-03-08,12:00,Groups Phase,Group H
Uruguay,Spain,2026-03-08,12:00,Groups Phase,Group H
New Zealand,Belgium,2026-03-08,15:00,Groups Phase,Group G
Egypt,Iran,2026-03-08,15:00,Groups Phase,Group G
Croatia,Ghana,2026-03-08,9:00,Groups Phase,Group L
Panama,England,2026-03-08,9:00,Groups Phase,Group L
Colombia,Portugal,2026-03-08,11:30,Groups Phase,Group K
Algeria,Austria,2026-03-08,14:00,Groups Phase,Group J
Jordan,Argentina,2026-03-08,14:00,Groups Phase,Group J
